UID,ANSWER,ANNOTATOR
TPCCHT-000019-16,4,A33XXH6Q66EH34
MPATHY-000106-0002,1,A33XXH6Q66EH34
ATTENTION-CHECK-3TD33TP5EQNNEHGA16ITX1V9JJOABT-1,2,A2752TVCWXCLFO
TPCCHT-000017-4,3,A2752TVCWXCLFO
TPCCHT-000005-17,2,A2752TVCWXCLFO
TPCCHT-000001-3,3,A2752TVCWXCLFO
MPATHY-000051-0002,2,A2752TVCWXCLFO
ATTENTION-CHECK-3TD33TP5EQNNEHGA16ITX1V9JJOABT-1,4,A11YEGD0RQ9AF9
TPCCHT-000017-4,2,A11YEGD0RQ9AF9
TPCCHT-000005-17,4,A11YEGD0RQ9AF9
TPCCHT-000001-3,4,A11YEGD0RQ9AF9
MPATHY-000051-0002,3,A11YEGD0RQ9AF9
ATTENTION-CHECK-3TD33TP5EQNNEHGA16ITX1V9JJOABT-1,1,A33B85TN97HQ33
TPCCHT-000017-4,4,A33B85TN97HQ33
TPCCHT-000005-17,4,A33B85TN97HQ33
TPCCHT-000001-3,4,A33B85TN97HQ33
MPATHY-000051-0002,2,A33B85TN97HQ33
ATTENTION-CHECK-3TD33TP5EQNNEHGA16ITX1V9JJOABT-1,1,APKTDTD9LK539
TPCCHT-000017-4,4,APKTDTD9LK539
TPCCHT-000005-17,4,APKTDTD9LK539
TPCCHT-000001-3,4,APKTDTD9LK539
MPATHY-000051-0002,4,APKTDTD9LK539
ATTENTION-CHECK-3TD33TP5EQNNEHGA16ITX1V9JJOABT-1,4,AY3W2L53R7EL3
TPCCHT-000017-4,4,AY3W2L53R7EL3
TPCCHT-000005-17,4,AY3W2L53R7EL3
TPCCHT-000001-3,4,AY3W2L53R7EL3
MPATHY-000051-0002,4,AY3W2L53R7EL3
TPCCHT-000011-4,4,A33B85TN97HQ33
TPCCHT-000000-14,4,A33B85TN97HQ33
TPCCHT-000000-15,4,A33B85TN97HQ33
TPCCHT-000012-9,4,A33B85TN97HQ33
ATTENTION-CHECK-3XEDXEGFY89S67MMFHYT7Y2MXRLK0W-5,1,A33B85TN97HQ33
TPCCHT-000011-4,3,A2K3RY63E2Y45R
TPCCHT-000000-14,2,A2K3RY63E2Y45R
TPCCHT-000000-15,2,A2K3RY63E2Y45R
TPCCHT-000012-9,4,A2K3RY63E2Y45R
ATTENTION-CHECK-3XEDXEGFY89S67MMFHYT7Y2MXRLK0W-5,1,A2K3RY63E2Y45R
TPCCHT-000011-4,3,A1HBZQTYFRGCRG
TPCCHT-000000-14,2,A1HBZQTYFRGCRG
TPCCHT-000000-15,2,A1HBZQTYFRGCRG
TPCCHT-000012-9,4,A1HBZQTYFRGCRG
ATTENTION-CHECK-3XEDXEGFY89S67MMFHYT7Y2MXRLK0W-5,1,A1HBZQTYFRGCRG
TPCCHT-000011-4,3,A1NUW3AISE7RZC
TPCCHT-000000-14,2,A1NUW3AISE7RZC
TPCCHT-000000-15,3,A1NUW3AISE7RZC
TPCCHT-000012-9,3,A1NUW3AISE7RZC
ATTENTION-CHECK-3XEDXEGFY89S67MMFHYT7Y2MXRLK0W-5,3,A1NUW3AISE7RZC
TPCCHT-000011-4,2,AHYMROQDBR2G4
TPCCHT-000000-14,3,AHYMROQDBR2G4
TPCCHT-000000-15,3,AHYMROQDBR2G4
TPCCHT-000012-9,3,AHYMROQDBR2G4
ATTENTION-CHECK-3XEDXEGFY89S67MMFHYT7Y2MXRLK0W-5,1,AHYMROQDBR2G4
TPCCHT-000010-16,1,A18T9V3QVDOGCY
TPCCHT-000021-2,4,A18T9V3QVDOGCY
MPATHY-000117-0004,4,A18T9V3QVDOGCY
MPATHY-000015-0002,4,A18T9V3QVDOGCY
MPATHY-000071-0002,4,A18T9V3QVDOGCY
TPCCHT-000010-16,2,A3PRQ2GSU42718
TPCCHT-000021-2,4,A3PRQ2GSU42718
MPATHY-000117-0004,4,A3PRQ2GSU42718
MPATHY-000015-0002,4,A3PRQ2GSU42718
MPATHY-000071-0002,4,A3PRQ2GSU42718
TPCCHT-000010-16,1,A18R8GG33EVI6C
TPCCHT-000021-2,4,A18R8GG33EVI6C
MPATHY-000117-0004,4,A18R8GG33EVI6C
MPATHY-000015-0002,4,A18R8GG33EVI6C
MPATHY-000071-0002,4,A18R8GG33EVI6C
TPCCHT-000010-16,1,A2QSQ6IAQCF3GW
TPCCHT-000021-2,3,A2QSQ6IAQCF3GW
MPATHY-000117-0004,4,A2QSQ6IAQCF3GW
MPATHY-000015-0002,4,A2QSQ6IAQCF3GW
MPATHY-000071-0002,4,A2QSQ6IAQCF3GW
TPCCHT-000010-16,1,A33B85TN97HQ33
TPCCHT-000021-2,4,A33B85TN97HQ33
MPATHY-000117-0004,4,A33B85TN97HQ33
MPATHY-000015-0002,4,A33B85TN97HQ33
MPATHY-000071-0002,4,A33B85TN97HQ33
TPCCHT-000018-9,4,A1RJYT061UQYR0
TPCCHT-000003-3,4,A1RJYT061UQYR0
ATTENTION-CHECK-38XPGNCKIYLNL6YZXMZ2LA3GU184VI-3,1,A1RJYT061UQYR0
MPATHY-000027-0002,1,A1RJYT061UQYR0
TPCCHT-000005-16,4,A1RJYT061UQYR0
TPCCHT-000018-9,4,A3PRQ2GSU42718
TPCCHT-000003-3,4,A3PRQ2GSU42718
ATTENTION-CHECK-38XPGNCKIYLNL6YZXMZ2LA3GU184VI-3,1,A3PRQ2GSU42718
MPATHY-000027-0002,1,A3PRQ2GSU42718
TPCCHT-000005-16,4,A3PRQ2GSU42718
TPCCHT-000018-9,4,A1GT4NK0VO5RFQ
TPCCHT-000003-3,4,A1GT4NK0VO5RFQ
ATTENTION-CHECK-38XPGNCKIYLNL6YZXMZ2LA3GU184VI-3,1,A1GT4NK0VO5RFQ
MPATHY-000027-0002,1,A1GT4NK0VO5RFQ
TPCCHT-000005-16,4,A1GT4NK0VO5RFQ
TPCCHT-000018-9,2,AHYMROQDBR2G4
TPCCHT-000003-3,3,AHYMROQDBR2G4
ATTENTION-CHECK-38XPGNCKIYLNL6YZXMZ2LA3GU184VI-3,1,AHYMROQDBR2G4
MPATHY-000027-0002,2,AHYMROQDBR2G4
TPCCHT-000005-16,3,AHYMROQDBR2G4
TPCCHT-000018-9,4,A2K3RY63E2Y45R
TPCCHT-000003-3,4,A2K3RY63E2Y45R
ATTENTION-CHECK-38XPGNCKIYLNL6YZXMZ2LA3GU184VI-3,1,A2K3RY63E2Y45R
MPATHY-000027-0002,1,A2K3RY63E2Y45R
TPCCHT-000005-16,4,A2K3RY63E2Y45R
TPCCHT-000003-21,2,A11YEGD0RQ9AF9
ATTENTION-CHECK-3UZUVSO3QCGMNL1J80AO70WUGXQEMH-2,4,A11YEGD0RQ9AF9
TPCCHT-000015-18,3,A11YEGD0RQ9AF9
MPATHY-000075-0005,4,A11YEGD0RQ9AF9
MPATHY-000008-0003,2,A11YEGD0RQ9AF9
TPCCHT-000003-21,2,AU75DIKTVX5GP
ATTENTION-CHECK-3UZUVSO3QCGMNL1J80AO70WUGXQEMH-2,1,AU75DIKTVX5GP
TPCCHT-000015-18,4,AU75DIKTVX5GP
MPATHY-000075-0005,3,AU75DIKTVX5GP
MPATHY-000008-0003,2,AU75DIKTVX5GP
TPCCHT-000003-21,4,A33B85TN97HQ33
ATTENTION-CHECK-3UZUVSO3QCGMNL1J80AO70WUGXQEMH-2,1,A33B85TN97HQ33
TPCCHT-000015-18,4,A33B85TN97HQ33
MPATHY-000075-0005,3,A33B85TN97HQ33
MPATHY-000008-0003,1,A33B85TN97HQ33
TPCCHT-000003-21,1,A2K3RY63E2Y45R
ATTENTION-CHECK-3UZUVSO3QCGMNL1J80AO70WUGXQEMH-2,1,A2K3RY63E2Y45R
TPCCHT-000015-18,2,A2K3RY63E2Y45R
MPATHY-000075-0005,4,A2K3RY63E2Y45R
MPATHY-000008-0003,1,A2K3RY63E2Y45R
TPCCHT-000003-21,2,A1NUW3AISE7RZC
ATTENTION-CHECK-3UZUVSO3QCGMNL1J80AO70WUGXQEMH-2,3,A1NUW3AISE7RZC
TPCCHT-000015-18,3,A1NUW3AISE7RZC
MPATHY-000075-0005,3,A1NUW3AISE7RZC
MPATHY-000008-0003,3,A1NUW3AISE7RZC
MPATHY-000039-0003,4,A18T9V3QVDOGCY
MPATHY-000116-0003,1,A18T9V3QVDOGCY
TPCCHT-000002-13,3,A18T9V3QVDOGCY
MPATHY-000052-0003,1,A18T9V3QVDOGCY
ATTENTION-CHECK-386T3MLZMSG8B6KL6S1QHTTV2RR08T-5,1,A18T9V3QVDOGCY
MPATHY-000039-0003,3,A351IXEGN07W7G
MPATHY-000116-0003,1,A351IXEGN07W7G
TPCCHT-000002-13,4,A351IXEGN07W7G
MPATHY-000052-0003,4,A351IXEGN07W7G
ATTENTION-CHECK-386T3MLZMSG8B6KL6S1QHTTV2RR08T-5,1,A351IXEGN07W7G
MPATHY-000039-0003,3,AW55OQ3IYZDET
MPATHY-000116-0003,1,AW55OQ3IYZDET
TPCCHT-000002-13,4,AW55OQ3IYZDET
MPATHY-000052-0003,1,AW55OQ3IYZDET
ATTENTION-CHECK-386T3MLZMSG8B6KL6S1QHTTV2RR08T-5,1,AW55OQ3IYZDET
MPATHY-000039-0003,2,AP9FLILLQQRPD
MPATHY-000116-0003,1,AP9FLILLQQRPD
TPCCHT-000002-13,1,AP9FLILLQQRPD
MPATHY-000052-0003,1,AP9FLILLQQRPD
ATTENTION-CHECK-386T3MLZMSG8B6KL6S1QHTTV2RR08T-5,1,AP9FLILLQQRPD
MPATHY-000039-0003,4,APKTDTD9LK539
MPATHY-000116-0003,1,APKTDTD9LK539
TPCCHT-000002-13,3,APKTDTD9LK539
MPATHY-000052-0003,1,APKTDTD9LK539
ATTENTION-CHECK-386T3MLZMSG8B6KL6S1QHTTV2RR08T-5,2,APKTDTD9LK539
MPATHY-000051-0004,4,A1MS8GKOJWXZ0R
TPCCHT-000001-5,2,A1MS8GKOJWXZ0R
TPCCHT-000014-11,3,A1MS8GKOJWXZ0R
TPCCHT-000010-20,2,A1MS8GKOJWXZ0R
TPCCHT-000021-5,2,A1MS8GKOJWXZ0R
MPATHY-000051-0004,4,A2WNW8A4MOR7T7
TPCCHT-000001-5,2,A2WNW8A4MOR7T7
TPCCHT-000014-11,4,A2WNW8A4MOR7T7
TPCCHT-000010-20,2,A2WNW8A4MOR7T7
TPCCHT-000021-5,2,A2WNW8A4MOR7T7
MPATHY-000051-0004,4,A33B85TN97HQ33
TPCCHT-000001-5,3,A33B85TN97HQ33
TPCCHT-000014-11,4,A33B85TN97HQ33
TPCCHT-000010-20,3,A33B85TN97HQ33
TPCCHT-000021-5,3,A33B85TN97HQ33
MPATHY-000051-0004,4,A1GT4NK0VO5RFQ
TPCCHT-000001-5,2,A1GT4NK0VO5RFQ
TPCCHT-000014-11,4,A1GT4NK0VO5RFQ
TPCCHT-000010-20,3,A1GT4NK0VO5RFQ
TPCCHT-000021-5,3,A1GT4NK0VO5RFQ
MPATHY-000051-0004,3,A1NUW3AISE7RZC
TPCCHT-000001-5,3,A1NUW3AISE7RZC
TPCCHT-000014-11,2,A1NUW3AISE7RZC
TPCCHT-000010-20,3,A1NUW3AISE7RZC
TPCCHT-000021-5,2,A1NUW3AISE7RZC
ATTENTION-CHECK-3UDTAB6HIBK8PB3VBK74HPO6MX909I-1,1,A1MS8GKOJWXZ0R
TPCCHT-000017-7,2,A1MS8GKOJWXZ0R
TPCCHT-000006-9,3,A1MS8GKOJWXZ0R
TPCCHT-000002-12,2,A1MS8GKOJWXZ0R
ATTENTION-CHECK-3UDTAB6HIBK8PB3VBK74HPO6MX909I-5,3,A1MS8GKOJWXZ0R
ATTENTION-CHECK-3UDTAB6HIBK8PB3VBK74HPO6MX909I-1,4,A11YEGD0RQ9AF9
TPCCHT-000017-7,4,A11YEGD0RQ9AF9
TPCCHT-000006-9,3,A11YEGD0RQ9AF9
TPCCHT-000002-12,4,A11YEGD0RQ9AF9
ATTENTION-CHECK-3UDTAB6HIBK8PB3VBK74HPO6MX909I-5,4,A11YEGD0RQ9AF9
ATTENTION-CHECK-3UDTAB6HIBK8PB3VBK74HPO6MX909I-1,3,APF1EAZT104LQ
TPCCHT-000017-7,4,APF1EAZT104LQ
TPCCHT-000006-9,4,APF1EAZT104LQ
TPCCHT-000002-12,4,APF1EAZT104LQ
ATTENTION-CHECK-3UDTAB6HIBK8PB3VBK74HPO6MX909I-5,1,APF1EAZT104LQ
ATTENTION-CHECK-3UDTAB6HIBK8PB3VBK74HPO6MX909I-1,1,A2K3RY63E2Y45R
TPCCHT-000017-7,4,A2K3RY63E2Y45R
TPCCHT-000006-9,4,A2K3RY63E2Y45R
TPCCHT-000002-12,4,A2K3RY63E2Y45R
ATTENTION-CHECK-3UDTAB6HIBK8PB3VBK74HPO6MX909I-5,1,A2K3RY63E2Y45R
ATTENTION-CHECK-3UDTAB6HIBK8PB3VBK74HPO6MX909I-1,1,A33B85TN97HQ33
TPCCHT-000017-7,4,A33B85TN97HQ33
TPCCHT-000006-9,4,A33B85TN97HQ33
TPCCHT-000002-12,4,A33B85TN97HQ33
ATTENTION-CHECK-3UDTAB6HIBK8PB3VBK74HPO6MX909I-5,1,A33B85TN97HQ33
TPCCHT-000008-20,1,A2K3RY63E2Y45R
MPATHY-000059-0002,4,A2K3RY63E2Y45R
TPCCHT-000012-14,4,A2K3RY63E2Y45R
TPCCHT-000020-6,1,A2K3RY63E2Y45R
ATTENTION-CHECK-31D0ZWOD1FKMUUD03QL4DKZQSFR0AX-5,3,A2K3RY63E2Y45R
TPCCHT-000008-20,3,A1NUW3AISE7RZC
MPATHY-000059-0002,2,A1NUW3AISE7RZC
TPCCHT-000012-14,3,A1NUW3AISE7RZC
TPCCHT-000020-6,3,A1NUW3AISE7RZC
ATTENTION-CHECK-31D0ZWOD1FKMUUD03QL4DKZQSFR0AX-5,2,A1NUW3AISE7RZC
TPCCHT-000008-20,4,A33B85TN97HQ33
MPATHY-000059-0002,4,A33B85TN97HQ33
TPCCHT-000012-14,4,A33B85TN97HQ33
TPCCHT-000020-6,4,A33B85TN97HQ33
ATTENTION-CHECK-31D0ZWOD1FKMUUD03QL4DKZQSFR0AX-5,1,A33B85TN97HQ33
TPCCHT-000008-20,2,AHYMROQDBR2G4
MPATHY-000059-0002,2,AHYMROQDBR2G4
TPCCHT-000012-14,2,AHYMROQDBR2G4
TPCCHT-000020-6,3,AHYMROQDBR2G4
ATTENTION-CHECK-31D0ZWOD1FKMUUD03QL4DKZQSFR0AX-5,3,AHYMROQDBR2G4
TPCCHT-000008-20,1,AUVWQ8YDHY3MX
MPATHY-000059-0002,4,AUVWQ8YDHY3MX
TPCCHT-000012-14,2,AUVWQ8YDHY3MX
TPCCHT-000020-6,3,AUVWQ8YDHY3MX
ATTENTION-CHECK-31D0ZWOD1FKMUUD03QL4DKZQSFR0AX-5,3,AUVWQ8YDHY3MX
MPATHY-000035-0003,4,A11YEGD0RQ9AF9
MPATHY-000044-0003,3,A11YEGD0RQ9AF9
TPCCHT-000019-17,4,A11YEGD0RQ9AF9
MPATHY-000087-0003,3,A11YEGD0RQ9AF9
TPCCHT-000014-7,4,A11YEGD0RQ9AF9
MPATHY-000035-0003,2,AU75DIKTVX5GP
MPATHY-000044-0003,1,AU75DIKTVX5GP
TPCCHT-000019-17,2,AU75DIKTVX5GP
MPATHY-000087-0003,1,AU75DIKTVX5GP
TPCCHT-000014-7,4,AU75DIKTVX5GP
MPATHY-000035-0003,2,AHYMROQDBR2G4
MPATHY-000044-0003,3,AHYMROQDBR2G4
TPCCHT-000019-17,2,AHYMROQDBR2G4
MPATHY-000087-0003,3,AHYMROQDBR2G4
TPCCHT-000014-7,1,AHYMROQDBR2G4
MPATHY-000035-0003,3,A1NUW3AISE7RZC
MPATHY-000044-0003,3,A1NUW3AISE7RZC
TPCCHT-000019-17,2,A1NUW3AISE7RZC
MPATHY-000087-0003,4,A1NUW3AISE7RZC
TPCCHT-000014-7,3,A1NUW3AISE7RZC
MPATHY-000035-0003,1,A1JCKICNOC7DAB
MPATHY-000044-0003,4,A1JCKICNOC7DAB
TPCCHT-000019-17,4,A1JCKICNOC7DAB
MPATHY-000087-0003,3,A1JCKICNOC7DAB
TPCCHT-000014-7,2,A1JCKICNOC7DAB
TPCCHT-000018-6,2,A1MS8GKOJWXZ0R
ATTENTION-CHECK-3S37Y8CWJDL00VY4NW4Y7CMU1AA4WS-2,2,A1MS8GKOJWXZ0R
MPATHY-000116-0004,3,A1MS8GKOJWXZ0R
TPCCHT-000011-18,2,A1MS8GKOJWXZ0R
TPCCHT-000000-11,4,A1MS8GKOJWXZ0R
TPCCHT-000018-6,3,A36ZURENFWTYOZ
ATTENTION-CHECK-3S37Y8CWJDL00VY4NW4Y7CMU1AA4WS-2,1,A36ZURENFWTYOZ
MPATHY-000116-0004,4,A36ZURENFWTYOZ
TPCCHT-000011-18,2,A36ZURENFWTYOZ
TPCCHT-000000-11,4,A36ZURENFWTYOZ
TPCCHT-000018-6,3,A12ATVBE1I4567
ATTENTION-CHECK-3S37Y8CWJDL00VY4NW4Y7CMU1AA4WS-2,1,A12ATVBE1I4567
MPATHY-000116-0004,4,A12ATVBE1I4567
TPCCHT-000011-18,2,A12ATVBE1I4567
TPCCHT-000000-11,1,A12ATVBE1I4567
TPCCHT-000018-6,4,A1FTG02J21468P
ATTENTION-CHECK-3S37Y8CWJDL00VY4NW4Y7CMU1AA4WS-2,2,A1FTG02J21468P
MPATHY-000116-0004,4,A1FTG02J21468P
TPCCHT-000011-18,2,A1FTG02J21468P
TPCCHT-000000-11,1,A1FTG02J21468P
TPCCHT-000018-6,4,A397D1I20OGUK7
ATTENTION-CHECK-3S37Y8CWJDL00VY4NW4Y7CMU1AA4WS-2,1,A397D1I20OGUK7
MPATHY-000116-0004,4,A397D1I20OGUK7
TPCCHT-000011-18,3,A397D1I20OGUK7
TPCCHT-000000-11,3,A397D1I20OGUK7
TPCCHT-000017-15,4,A2BAIRVKSX5AFP
MPATHY-000041-0005,1,A2BAIRVKSX5AFP
ATTENTION-CHECK-344M16OZLN0S53MJK1POKFLULN0ENH-3,1,A2BAIRVKSX5AFP
TPCCHT-000006-18,2,A2BAIRVKSX5AFP
MPATHY-000075-0004,4,A2BAIRVKSX5AFP
TPCCHT-000017-15,2,A2M9K08I66YIZ3
MPATHY-000041-0005,2,A2M9K08I66YIZ3
ATTENTION-CHECK-344M16OZLN0S53MJK1POKFLULN0ENH-3,3,A2M9K08I66YIZ3
TPCCHT-000006-18,2,A2M9K08I66YIZ3
MPATHY-000075-0004,3,A2M9K08I66YIZ3
TPCCHT-000017-15,4,A369K7I5SXBPNC
MPATHY-000041-0005,1,A369K7I5SXBPNC
ATTENTION-CHECK-344M16OZLN0S53MJK1POKFLULN0ENH-3,1,A369K7I5SXBPNC
TPCCHT-000006-18,4,A369K7I5SXBPNC
MPATHY-000075-0004,4,A369K7I5SXBPNC
TPCCHT-000017-15,2,A11YEGD0RQ9AF9
MPATHY-000041-0005,4,A11YEGD0RQ9AF9
ATTENTION-CHECK-344M16OZLN0S53MJK1POKFLULN0ENH-3,2,A11YEGD0RQ9AF9
TPCCHT-000006-18,4,A11YEGD0RQ9AF9
