UID,SID,SEG
topical-000002-0,agent_1,hey what ' s up do use google very often ? i really love the company and was surprised to hear that it was founded back in 1998 .
topical-000002-1,agent_2,i think everyone must use it daily ! its become ingrained in every day life
topical-000002-2,agent_1,agreed . the google headquarters in mountain view california is nicknamed the google plex .
topical-000002-3,agent_2,"thats funny . the current ceo is sundar pichai , i didnt know larry page was replaced"
topical-000002-4,agent_1,oh yeah i didn ' t know that either . i also want to go to google plex to see the goats who mow their lawn by eating it .
topical-000002-5,agent_2,say what now ? ? they have that ? ?
topical-000002-6,agent_1,yeah apparently lol ! they do that instead of hiring people to mow !
topical-000002-7,agent_2,thats both funny and i guess imaginative . leave it to a huge tech company to employ actual goats !
topical-000002-8,agent_1,yeah exactly i am sure they are cheaper . one thing i bet they couldn ' t exploit is fish . i think fish are so cool there is actually a breed of jellyfish that is immortal .
topical-000002-9,agent_2,i had rememered hearing about that before . immortatlity is wasted on a jellyfish haha . did you know a seahorse is the only fish that has an actual neck ?
topical-000002-10,agent_1,that is so funny i guess i never considered a seahorse a fish . the black swallower fish sounds a lot like a snake because it can eat pray that is so large .
topical-000002-11,agent_2,i guess they live up to their name then !
topical-000002-12,agent_1,it seems they do . i also didn ' t know that there was a difference with how freshwater and saltwater fish drink .
topical-000002-13,agent_2,thats crazy . i wonder why fresh water ones only use osmosis ?
topical-000002-14,agent_1,yeah and saltwater fish are lucky because they can do that and drink through their mouth ' s .
topical-000002-15,agent_2,seems like fresh water fish got the short end of the stick with that one . have you ever been to a cat cafe ?
topical-000002-16,agent_1,"i have never been to a cat cafe no , what about you ? seems like they are popular in japan and taiwan ."
topical-000002-17,agent_2,no but i would love to ! paying hourly to hang out with adorable cats ? im in !
topical-000002-18,agent_1,yeah that would be a lot of fun . i didn ' t realize that cats sleep so much . must be nice .
topical-000002-19,agent_2,"i guess thats where the phrase "" cat nap "" comes from"
topical-000002-20,agent_1,oh yeah i guess so ha ha . there ' s even a town in alaska that has a mayor cat .
